Registration Mark,Aircraft Producer,Aircraft Model,Category,Registration Date,MTOW (KGs),Year of Manufacture,Aircraft Serial Number,Engine Manufacturer,Engine Model,No. of Engines,Registered Owner,Address
EI-CES,TAYLORCRAFT AVIATION CORPORATION,TAYLORCRAFT BC-65,LAND AEROPLANE,25/03/1992,522,1940,2231,CONTINENTAL MOTORS CORP.,A65-8,1,PRIVATE INDIVIDUAL,"CORK,"
EI-CFF,PIPER AIRCRAFT INC,PIPER PA-12,LAND AEROPLANE,01/06/1991,794,1947,741048,LYCOMING,O-235-C1,1,PRIVATE INDIVIDUAL,"KILDARE,"
EI-CFG,ATELIERS AERONAUTIQUE ROUSSEAU,PIEL CP301B,LAND AEROPLANE,01/06/1991,610,1958,112,CONTINENTAL MOTORS CORP.,C90-14F,1,PRIVATE INDIVIDUAL,"WEXFORD,"
EI-CFH,PIPER AIRCRAFT INC,PIPER PA-12,LAND AEROPLANE,01/06/1991,794,1947,12-3110,LYCOMING,O-320,1,PRIVATE INDIVIDUAL,"OFFALY,"
EI-CFO,PIPER AIRCRAFT INC,PIPER J3,LAND AEROPLANE,18/09/1998,553,1944,11947,CONTINENTAL MOTORS CORP.,C90-8F,1,PRIVATE INDIVIDUAL,"KILDARE,"
EI-CFY,CESSNA AIRCRAFT COMPANY,CESSNA 172N,LAND AEROPLANE,05/04/1995,1043,1977,172-68902,LYCOMING,O-320-H2AD,1,NATIONAL FLIGHT CENTRE LIMITED,"WESTON AERODROME, LEIXLIP, CO. KILDARE,"
EI-CGF,MCCARTNEY,LUTON LA5 MAJOR,LAND AEROPLANE,31/07/1992,635,1978,1208,LYCOMING,O-235-C2A,1,PRIVATE INDIVIDUAL,"CLARE, GALWAY,"
EI-CGH,CESSNA AIRCRAFT COMPANY,CESSNA 210N,LAND AEROPLANE,16/11/1992,1724,1979,21063524,CONTINENTAL MOTORS CORP.,IO-520-L,1,PRIVATE INDIVIDUAL,"CAVAN,"
EI-CGP,PIPER AIRCRAFT INC,PIPER PA-28-140,LAND AEROPLANE,05/07/1999,975,1970,28-26928,LYCOMING,O-320-E2A,1,PRIVATE INDIVIDUAL,"CORK,"
EI-CHR,CFM METAL-FAX,SHADOW SERIES BD,ANNEX I 1(E) / 450 KG,11/09/1995,348,1987,63,ROTAX,447,1,PRIVATE INDIVIDUAL,"OFFALY,"
EI-CIG,PIPER AIRCRAFT INC,PIPER PA-18-150,LAND AEROPLANE,12/06/1993,794,1960,18-7360,LYCOMING,O-320-A2B,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-CIM,AVID AIRCRAFT,AVID HAULER MK4,LAND AEROPLANE,17/08/1993,522,1992,1125D,ROTAX,582/48,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-CIN,CESSNA AIRCRAFT COMPANY,CESSNA 150K,LAND AEROPLANE,05/05/2000,726,1970,71728,CONTINENTAL MOTORS CORP.,O-200-A,1,PRIVATE INDIVIDUAL,"DUBLIN, KILDARE,"
EI-CJJ,SLINGSBY SAILPLANES LTD,SLINGSBY T31 MOTOR CADET III,ANNEX I 1(C) / HOMEBUILD SAILPLANE,19/01/2006,376,1950,907,ARDEM,1600,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-CJS,SOCIETE WASSMER AVIATION,JODEL D120A,LAND AEROPLANE,01/06/1999,650,1967,339,CONTINENTAL MOTORS CORP.,C90-14F,1,PRIVATE INDIVIDUAL,"OFFALY,"
EI-CJT,SLINGSBY SAILPLANES LTD,CADET III MOTOR GLIDER,POWERED SAILPLANE,28/02/1994,399,1990,PCW-001,ARDEM,1835,1,PRIVATE INDIVIDUAL,"CORK,"
EI-CKH,PIPER AIRCRAFT INC,PIPER PA-18,LAND AEROPLANE,03/06/1994,680,1960,18-7248,CONTINENTAL MOTORS CORP.,C90-12F,1,PRIVATE INDIVIDUAL,"WEXFORD,"
EI-CKI,THRUSTER AIR SERVICES LTD,THRUSTER TST,ANNEX I 1(E) / 450 KG,03/06/1994,360,1988,8078-TST-091,ROTAX,503,1,PRIVATE INDIVIDUAL,"WICKLOW,"
EI-CKJ,CAMERON BALLOONS LIMITED,CAMERON N-77,BALLOON,06/07/1994,703,1994,3305,,,0,PRIVATE INDIVIDUAL,"KILDARE,"
EI-CKZ,JODEL,JODEL D18,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,05/04/1995,460,1995,D-18-229,ARDEM,1834,1,PRIVATE INDIVIDUAL,"WICKLOW,"
EI-CLQ,REIMS AVIATION SA,CESSNA 172N,LAND AEROPLANE,14/02/1997,1043,1977,1653,LYCOMING,O-320-H2AD,1,PRIVATE INDIVIDUAL,"OFFALY,"
EI-CML,CESSNA AIRCRAFT COMPANY,CESSNA 150M,LAND AEROPLANE,05/01/1996,726,1975,150-76786,CONTINENTAL MOTORS CORP.,O-200-A,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-CMN,PIPER AIRCRAFT INC,PIPER PA-12,LAND AEROPLANE,02/04/1998,794,1946,12-1617,LYCOMING,O-235-C1,1,PRIVATE INDIVIDUAL,"OFFALY, TIPPERARY,"
EI-CMR,RUTAN AIRCRAFT INC,RUTAN LONG-EZ,LAND AEROPLANE,02/05/1996,646,1996,1716,LYCOMING,O-235-C2A,1,PRIVATE INDIVIDUAL,"WICKLOW,"
EI-CMT,PIPER AIRCRAFT INC,PIPER PA-34-200T,LAND AEROPLANE,31/10/2001,1999,1978,34-787-0088,CONTINENTAL MOTORS CORP.,LTSIO-360-ETSIO-360-E,2,ATLANTIC FLIGHT TRAINING LIMITED,"UPPER BALLYGARVAN, KINSALE ROAD , CO. CORK,"
EI-CMU,MAINAIR SPORTS LTD,MAINAIR MERCURY,ANNEX I 1(E) / 450 KG,14/08/2001,370,1996,1071-0296-7W873,ROTAX,462,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-CMW,ROTORWAY INTERNATIONAL,ROTORWAY EXECUTIVE,GYROCOPTER,13/05/1996,617,1996,3550,ROTORWAY,RW 152D,1,PRIVATE INDIVIDUAL,"MEATH,"
EI-CNG,AIR AND SPACE MANUFACTURING INC,AIR AND SPACE 18A GYROPLANE,GYROCOPTER,10/09/1996,816,1966,18-75,LYCOMING,O-360,1,PRIVATE INDIVIDUAL,"CLARE,"
EI-CNU,PEGASUS AVIATION,PEGASUS QUANTUM 15-912,ANNEX I 1(E) / 450 KG,10/04/1997,390,1997,7326,ROTAX,912,1,PRIVATE INDIVIDUAL,"WEXFORD,"
EI-COT,REIMS AVIATION SA,CESSNA F172N,LAND AEROPLANE,24/11/1997,1043,1979,1884,LYCOMING,O-320-H2AD,1,TOJO AIR LEASING LIMITED,"BALLYMAGLAVY, BALLYNACARGY, CO. WESTMEATH,"
EI-COW,ICP s.r.l.,SAVANNAH S,ANNEX I 1(E) / 450 KG,12/01/2021,450,2020,20-10-54-0736,ROTAX,912-ULS,1,PRIVATE INDIVIDUAL,"LIMERICK,"
EI-COY,PIPER AIRCRAFT INC,PIPER J3C-65S,LAND AEROPLANE,05/11/1997,590,1946,22519,ROLLS-ROYCE PLC,C-90-8F,1,THE REAL SEAPLANE FLYING GROUP,"DUBLIN, MEATH, WESTMEATH,"
EI-CPI,RUTAN AIRCRAFT INC,RUTAN LONG-EZ,LAND AEROPLANE,18/12/1997,646,1997,17,LYCOMING,O-235-C2A,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-CPP,PIPER AIRCRAFT INC,PIPER J3C-65,LAND AEROPLANE,23/03/1998,553,1944,12052,CONTINENTAL MOTORS CORP.,A65-8,1,PRIVATE INDIVIDUAL,"TIPPERARY,"
EI-CPX,INIZIATIVE INDUSTRIALI ITALIANI S.p.A.,SKY ARROW 650 T,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,24/06/1998,650,1998,K122,ROTAX,912-UL,1,PRIVATE INDIVIDUAL,"MEATH, WESTMEATH,"
EI-CRB,LINDSTRAND BALLOONS LTD,LBL 90A,BALLOON,23/09/1998,900,1998,550,,,0,PRIVATE INDIVIDUAL,"GALWAY,"
EI-CRX,S.O.C.A.T.A.,SOCATA TB9,LAND AEROPLANE,21/05/1999,1061,1990,1170,LYCOMING,O-320-D2A,1,PRIVATE INDIVIDUAL,"MEATH,"
EI-CTL,AEROTECH INTERNATIONAL LIMITED,MW5B SORCERER,ANNEX I 1(E) / 450 KG,21/05/1999,260,1986,SR102-R440B-07,FUJI-ROBIN,440,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-CUJ,CESSNA AIRCRAFT COMPANY,CESSNA 172N,LAND AEROPLANE,23/01/2002,1043,1979,172-71985,LYCOMING,O-320-H2AD,1,THE HOTEL BRAVO FLYING CLUB LIMITED,"65 ROKEBY PARK, LUCAN, CO. DUBLIN,"
EI-CUS,BELL HELICOPTER TEXTRON,AB 206 B,ROTORCRAFT,24/08/2000,1451,1990,8721,ROLLS-ROYCE PLC,250-C20J,1,PRIVATE INDIVIDUAL,"MEATH,"
EI-CUW,PILATUS BRITTEN-NORMAN LTD,BN2B-26 ISLANDER,LAND AEROPLANE,08/11/2000,2994,1998,2293,LYCOMING,O-540-E4C5,2,GALWAY AVIATION SERVICES LIMITED,"CAISLEAN, INVERIN, CO. GALWAY,"
EI-CVB,AIRBUS INDUSTRIE,A320-214,LAND AEROPLANE,08/02/2001,73500,2001,1394,CFM,CFM56-5B4/P,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-CVC,AIRBUS INDUSTRIE,A320-214,LAND AEROPLANE,06/04/2001,73500,2001,1443,CFM,CFM56-5B4/P,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-CVL,ENGINEERING AND RESEARCH CORPORATION,ERCOUPE 415CD,LAND AEROPLANE,15/03/2001,572,1947,4754,CONTINENTAL MOTORS CORP.,O-200-A,1,PRIVATE INDIVIDUAL,"WICKLOW,"
EI-CVW,KAVANAGH FERGUS,BENSEN B8V,GYROCOPTER,26/05/2005,300,1998,FK199801,ARDEM,1835,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-CXN,THE BOEING COMPANY,BOEING 737-329,LAND AEROPLANE,01/05/2002,59875,1987,23772,CFM,CFM56-3B2,2,TRANSALPINE LEASING LIMITED,"NO. 1 GRANTS ROW, SECOND FLOOR, MOUNT STREET LOWER, DUBLIN 2,"
EI-CXR,THE BOEING COMPANY,BOEING 737-329,LAND AEROPLANE,31/05/2002,59875,1989,24355,CFM,CFM56-3B2,2,TRANSALPINE LEASING LIMITED,"NO. 1 GRANTS ROW, SECOND FLOOR, MOUNT STREET LOWER, DUBLIN 2,"
EI-CXV,THE BOEING COMPANY,BOEING 737-8CX,LAND AEROPLANE,03/07/2002,79015,2002,32364,CFM,CFM56-7B26,2,MASL IRELAND (14) LIMITED,"1ST FLOOR, CONNAUGHT HOUSE, 1 BURLINGTON ROAD, DUBLIN 4,"
EI-CXY,EVEKTOR AEROTECHNIK AS,EV-97,ANNEX I 1(E) / 450 KG,31/10/2002,450,2000,20000701,ROTAX,912-UL,1,PRIVATE INDIVIDUAL,"KILDARE,"
EI-CXZ,THE BOEING COMPANY,BOEING 767-216,LAND AEROPLANE,25/07/2002,159213,1991,24973,GENERAL ELECTRIC COMPANY,CF6-80A2,2,TRANSALPINE LEASING LIMITED,"NO. 1 GRANTS ROW, SECOND FLOOR, MOUNT STREET LOWER, DUBLIN 2,"
EI-CZA,ATEC 2000,ATEC 2000,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,17/07/2003,544,2002,2580602A,ROTAX,912-A,1,PRIVATE INDIVIDUAL,"LAOIS,"
EI-DAA,AIRBUS INDUSTRIE,A330-202,LAND AEROPLANE,17/04/2001,230000,2001,397,GENERAL ELECTRIC COMPANY,CF6-80E1A4,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-DAC,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,22/10/2020,79015,2002,29938,CFM,CFM56-7B24,2,ASL AIRLINES (IRELAND) LIMITED,"3 MALAHIDE ROAD, SWORDS, CO. DUBLIN,"
EI-DAD,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,25/09/2020,79015,2002,33544,CFM,CFM56-7B24CFM56-7B24/3,2,ASL AIRLINES (IRELAND) LIMITED,"3 MALAHIDE ROAD, SWORDS, CO. DUBLIN,"
EI-DBI,RAJ HAMSA X' AIR,X'AIR FALCON,ANNEX I 1(E) / 450 KG,16/04/2003,450,2002,671,JABIRU,2200,1,PRIVATE INDIVIDUAL,"OFFALY,"
EI-DBO,AIR CREATION,KISS 400,ANNEX I 1(E) / 450 KG,13/05/2003,400,2003,A03034-3033/T03025,ROTAX,582/48,1,PRIVATE INDIVIDUAL,"KILDARE,"
EI-DBV,RAND KAR SA,X'AIR 602T,ANNEX I 1(E) / 450 KG,13/08/2003,450,2001,516,ROTAX,582/48,1,PRIVATE INDIVIDUAL,"KERRY,"
EI-DCA,RAJ HAMSA X' AIR,X'AIR,ANNEX I 1(E) / 450 KG,18/07/2003,450,2003,742,JABIRU,2200,1,PRIVATE INDIVIDUAL,"LONGFORD,"
EI-DCJ,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,01/09/2004,66990,2004,33564,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DCK,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,01/09/2004,66990,2004,33565,CFM,CFM56-7B26/3CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DCL,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,01/10/2004,66990,2004,33806,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DCM,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,01/10/2004,66990,2004,33807,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DCN,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,01/11/2004,66990,2004,33808,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DCO,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,01/11/2004,66990,2004,33809,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DCP,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,01/11/2004,66990,2004,33810,CFM,CFM56-7B26CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DCR,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,02/12/2004,66990,2004,33811,CFM,CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DCW,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,13/01/2005,66990,2004,33568,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DCX,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,21/01/2005,66990,2004,33569,CFM,CFM56-7B26CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DCY,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,25/01/2005,66990,2004,33570,CFM,CFM56-7B26/3CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DCZ,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,26/01/2005,66990,2004,33815,CFM,CFM56-7B26/3CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DDC,REIMS AVIATION SA,CESSNA F172M,LAND AEROPLANE,15/10/2003,1043,1974,F1721082,LYCOMING,O-320-E2D,1,PRIVATE INDIVIDUAL,"CORK,"
EI-DDD,AERONCA AIRCRAFT CORPORATION,AERONCA 7AC,LAND AEROPLANE,27/04/2004,553,1946,7AC-2895,CONTINENTAL MOTORS CORP.,A65,1,PRIVATE INDIVIDUAL,"CLARE,"
EI-DDJ,RAJ HAMSA X' AIR,X'AIR 582,ANNEX I 1(E) / 450 KG,24/09/2003,450,2003,863,JABIRU,2200,1,PRIVATE INDIVIDUAL,"KILDARE,"
EI-DDP,SOUTHDOWN INTERNATIONAL LTD,PUMA SPRINT,ANNEX I 1(E) / 450 KG,27/05/2004,336,1985,1121/0031,FUJI-ROBIN,EC-44-PM,1,PRIVATE INDIVIDUAL,"KILDARE,"
EI-DDR,BENSEN AIRCRAFT CORPORATION,BENSEN B8V,ANNEX I 1(C) / HOMEBUILD GYROCOPTER,24/06/2013,450,2003,SAAC 037,ARDEM,1600,1,PRIVATE INDIVIDUAL,"KILDARE,"
EI-DDX,CESSNA AIRCRAFT COMPANY,CESSNA 172S,LAND AEROPLANE,19/02/2004,1157,1999,172S8313,LYCOMING,IO-360-L2A,1,ATLANTIC FLIGHT TRAINING LIMITED,"UPPER BALLYGARVAN, KINSALE ROAD , CO. CORK,"
EI-DEE,AIRBUS INDUSTRIE,A320-214,LAND AEROPLANE,27/08/2004,73500,2004,2250,CFM,CFM56-5B4/P,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-DEF,AIRBUS INDUSTRIE,A320-214,LAND AEROPLANE,02/09/2004,73500,2004,2256,CFM,CFM56-5B4/P,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-DEG,AIRBUS INDUSTRIE,A320-214,LAND AEROPLANE,10/09/2004,73500,2004,2272,CFM,CFM56-5B4/P,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-DEH,AIRBUS INDUSTRIE,A320-214,LAND AEROPLANE,20/10/2004,73500,2004,2294,CFM,CFM56-5B4/P,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-DEI,AIRBUS INDUSTRIE,A320-214,LAND AEROPLANE,14/02/2005,73500,2005,2374,CFM,CFM56-5B4/P,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-DEJ,AIRBUS INDUSTRIE,A320-214,LAND AEROPLANE,03/02/2005,73500,2005,2364,CFM,CFM56-5B4/P,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-DEK,AIRBUS INDUSTRIE,A320-214,LAND AEROPLANE,24/03/2005,73500,2005,2399,CFM,CFM56-5B4/P,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-DEL,AIRBUS INDUSTRIE,A320-214,LAND AEROPLANE,13/04/2005,73500,2005,2409,CFM,CFM56-5B4/P,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-DEM,AIRBUS INDUSTRIE,A320-214,LAND AEROPLANE,07/04/2005,73500,2005,2411,CFM,CFM56-5B4/P,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-DEN,AIRBUS INDUSTRIE,A320-214,LAND AEROPLANE,13/05/2005,73500,2005,2432,CFM,CFM56-5B4/P,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-DEO,AIRBUS INDUSTRIE,A320-214,LAND AEROPLANE,06/07/2005,73500,2005,2486,CFM,CFM56-5B4/P,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-DEP,AIRBUS INDUSTRIE,A320-214,LAND AEROPLANE,07/10/2005,73500,2005,2542,CFM,CFM56-5B4/P,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-DER,AIRBUS INDUSTRIE,A320-214,LAND AEROPLANE,03/11/2005,73500,2005,2583,CFM,CFM56-5B4/P,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-DES,AIRBUS INDUSTRIE,A320-214,LAND AEROPLANE,22/12/2005,73500,2005,2635,CFM,CFM56-5B4/P,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-DFM,EVEKTOR AEROTECHNIK AS,EV-97R,ANNEX I 1(E) / 450 KG,08/03/2004,450,2003,2003 1706,ROTAX,912-UL,1,PRIVATE INDIVIDUAL,"MEATH,"
EI-DFO,AIRBUS INDUSTRIE,A320-211,LAND AEROPLANE,20/04/2004,75500,1992,371,CFM,CFM56-5A1,2,TRITON AVIATION IRELAND LIMITED,"1st FLOOR, 118 LOWER BAGGOT STREET, DUBLIN 2,"
EI-DFS,THE BOEING COMPANY,BOEING 767-33A,LAND AEROPLANE,01/07/2014,185068,1991,25346,PRATT & WHITNEY,PW4056,2,TRANSALPINE LEASING LIMITED,"NO. 1 GRANTS ROW, SECOND FLOOR, MOUNT STREET LOWER, DUBLIN 2,"
EI-DFX,AIR CREATION,KISS 400,ANNEX I 1(E) / 450 KG,13/05/2004,400,2004,A04007-4007,ROTAX,582/48,1,PRIVATE INDIVIDUAL,"OFFALY,"
EI-DFY,RAND KAR SA,X'AIR R100(2),ANNEX I 1(E) / 450 KG,13/05/2004,450,1999,430,BMW,R100,1,PRIVATE INDIVIDUAL,"CAVAN, DONEGAL,"
EI-DGA,URBAN AIR S.R.O.,LAMBADA UFM-11,ANNEX I 1(E) / 450 KG,16/04/2004,450,2004,16/11,JABIRU,2200,1,PRIVATE INDIVIDUAL,"OFFALY,"
EI-DGG,RAJ HAMSA X' AIR,X'AIR 133(1),ANNEX I 1(E) / 450 KG,09/06/2004,450,2003,899,VERNER,133M,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-DGH,RAJ HAMSA X' AIR,X'AIR 582(14),ANNEX I 1(E) / 450 KG,09/06/2004,450,2004,861,ROTAX,582/48,1,PRIVATE INDIVIDUAL,"DOWN, DUBLIN,"
EI-DGJ,RAJ HAMSA X' AIR,X'AIR 582(11),ANNEX I 1(E) / 450 KG,09/06/2004,450,2003,707,ROTAX,582/48,1,PRIVATE INDIVIDUAL,"OFFALY,"
EI-DGK,RAJ HAMSA X' AIR,X'AIR 133(1),ANNEX I 1(E) / 450 KG,09/06/2004,450,2003,856,VERNER,133M,1,PRIVATE INDIVIDUAL,"DONEGAL,"
EI-DGP,URBAN AIR S.R.O.,LAMBADA UFM-11,ANNEX I 1(E) / 450 KG,24/11/2004,472.5,2003,15/11,JABIRU,2200A,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-DGT,URBAN AIR S.R.O.,LAMBADA UFM-11,ANNEX I 1(E) / 450 KG,12/08/2004,450,2000,14/11,JABIRU,2200,1,PRIVATE INDIVIDUAL,"GALWAY,"
EI-DGU,AIRBUS INDUSTRIE,A300B4-622R,LAND AEROPLANE,11/02/2016,153000,1990,557,PRATT & WHITNEY,PW4158,2,ASL AIRLINES (IRELAND) LIMITED,"3 MALAHIDE ROAD, SWORDS, CO. DUBLIN,"
EI-DGV,ATEC VOS,ZEPHYR 2000,ANNEX I 1(E) / 450 KG,08/09/2005,450,2002,Z509702A,ROTAX,912-ULS,1,PRIVATE INDIVIDUAL,"ROSCOMMON,"
EI-DGW,CAMERON BALLOONS LIMITED,CAMERON Z-90,BALLOON,15/09/2004,381,2004,10607,,,0,PRIVATE INDIVIDUAL,"MEATH,"
EI-DGX,CESSNA AIRCRAFT COMPANY,CESSNA 152,LAND AEROPLANE,19/10/2004,758,1978,152-81296,LYCOMING,O-235-L2C,1,NATIONAL FLIGHT CENTRE LIMITED,"WESTON AERODROME, LEIXLIP, CO. KILDARE,"
EI-DGY,URBAN AIR S.R.O.,LAMBADA UFM-11,ANNEX I 1(E) / 450 KG,15/10/2004,450,1999,10/11,JABIRU,2200A,1,PRIVATE INDIVIDUAL,"LEITRIM,"
EI-DHA,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,01/02/2005,66990,2005,33571,CFM,CFM56-7B26CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DHC,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,17/02/2005,66990,2005,33573,CFM,CFM56-7B26CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DHD,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,25/02/2005,66990,2005,33816,CFM,CFM56-7B26CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DHE,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,02/03/2005,66990,2005,33574,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DHF,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,03/03/2005,66990,2005,33575,CFM,CFM56-7B26,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DHG,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,18/03/2005,66990,2005,33576,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DHH,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,29/03/2005,66990,2005,33817,CFM,CFM56-7B26CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-DHK,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,14/01/2021,70533,2005,33820,CFM,CFM56-7B24,2,STLC EUROPE SEVENTEEN LEASING LIMITED,"2 HUME STREET, DUBLIN 2,"
EI-DHN,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,01/09/2005,66990,2005,33577,CFM,CFM56-7B26/3CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
